identifier,Source,ProteinName,GeneName
sp|A5A613|YCIY_ECOLI,sp,A5A613,YCIY
sp|P00350|6PGD_ECOLI,sp,P00350,6PGD
sp|P00363|FRDA_ECOLI,sp,P00363,FRDA
sp|P00370|DHE4_ECOLI,sp,P00370,DHE4
sp|P00393|NDH_ECOLI,sp,P00393,NDH
sp|P00448|SODM_ECOLI,sp,P00448,SODM
sp|P00452|RIR1_ECOLI,sp,P00452,RIR1
sp|P00490|PHSM_ECOLI,sp,P00490,PHSM
sp|P00509|AAT_ECOLI,sp,P00509,AAT
sp|P00547|KHSE_ECOLI,sp,P00547,KHSE
sp|P00550|PTM3C_ECOLI,sp,P00550,PTM3C
sp|P00561|AK1H_ECOLI,sp,P00561,AK1H
sp|P00562|AK2H_ECOLI,sp,P00562,AK2H
sp|P00579|RPOD_ECOLI,sp,P00579,RPOD
sp|P00582|DPO1_ECOLI,sp,P00582,DPO1
sp|P00634|PPB_ECOLI,sp,P00634,PPB
sp|P00803|LEP_ECOLI,sp,P00803,LEP
sp|P00805|ASPG2_ECOLI,sp,P00805,ASPG2
sp|P00811|AMPC_ECOLI,sp,P00811,AMPC
sp|P00864|CAPP_ECOLI,sp,P00864,CAPP
sp|P00887|AROH_ECOLI,sp,P00887,AROH
sp|P00888|AROF_ECOLI,sp,P00888,AROF
sp|P00893|ILVI_ECOLI,sp,P00893,ILVI
sp|P00894|ILVH_ECOLI,sp,P00894,ILVH
sp|P00934|THRC_ECOLI,sp,P00934,THRC
sp|P00935|METB_ECOLI,sp,P00935,METB
sp|P00936|CYAA_ECOLI,sp,P00936,CYAA
sp|P00944|XYLA_ECOLI,sp,P00944,XYLA
sp|P00946|MANA_ECOLI,sp,P00946,MANA
sp|P00954|SYW_ECOLI,sp,P00954,SYW
sp|P00956|SYI_ECOLI,sp,P00956,SYI
sp|P00957|SYA_ECOLI,sp,P00957,SYA
sp|P00959|SYM_ECOLI,sp,P00959,SYM
sp|P00960|SYGA_ECOLI,sp,P00960,SYGA
sp|P00961|SYGB_ECOLI,sp,P00961,SYGB
sp|P00962|SYQ_ECOLI,sp,P00962,SYQ
sp|P00963|ASNA_ECOLI,sp,P00963,ASNA
sp|P00968|CARB_ECOLI,sp,P00968,CARB
sp|P02358|RS6_ECOLI,sp,P02358,RS6
sp|P02359|RS7_ECOLI,sp,P02359,RS7
sp|P02413|RL15_ECOLI,sp,P02413,RL15
sp|P02916|MALF_ECOLI,sp,P02916,MALF
sp|P02918|PBPA_ECOLI,sp,P02918,PBPA
sp|P02919|PBPB_ECOLI,sp,P02919,PBPB
sp|P02925|RBSB_ECOLI,sp,P02925,RBSB
sp|P02930|TOLC_ECOLI,sp,P02930,TOLC
sp|P02931|OMPF_ECOLI,sp,P02931,OMPF
sp|P02932|PHOE_ECOLI,sp,P02932,PHOE
sp|P02942|MCP1_ECOLI,sp,P02942,MCP1
sp|P02943|LAMB_ECOLI,sp,P02943,LAMB
sp|P03004|DNAA_ECOLI,sp,P03004,DNAA
sp|P03014|PINE_ECOLI,sp,P03014,PINE
sp|P03018|UVRD_ECOLI,sp,P03018,UVRD
sp|P03023|LACI_ECOLI,sp,P03023,LACI
sp|P03024|GALR_ECOLI,sp,P03024,GALR
sp|P03813|YGEA_ECOLI,sp,P03813,YGEA
sp|P03817|MIOC_ECOLI,sp,P03817,MIOC
sp|P03819|KEFC_ECOLI,sp,P03819,KEFC
sp|P04036|DAPB_ECOLI,sp,P04036,DAPB
sp|P04079|GUAA_ECOLI,sp,P04079,GUAA
sp|P04335|FRSA_ECOLI,sp,P04335,FRSA
sp|P04395|3MG2_ECOLI,sp,P04395,3MG2
sp|P04425|GSHB_ECOLI,sp,P04425,GSHB
sp|P04693|TYRB_ECOLI,sp,P04693,TYRB
sp|P04805|SYE_ECOLI,sp,P04805,SYE
sp|P04825|AMPN_ECOLI,sp,P04825,AMPN
