identifier,Source,ProteinName,GeneName
sp|P04846|NLPA_ECOLI,sp,P04846,NLPA
sp|P04949|FLIC_ECOLI,sp,P04949,FLIC
sp|P04951|KDSB_ECOLI,sp,P04951,KDSB
sp|P04968|ILVA_ECOLI,sp,P04968,ILVA
sp|P04982|RBSD_ECOLI,sp,P04982,RBSD
sp|P04983|RBSA_ECOLI,sp,P04983,RBSA
sp|P04993|RECD_ECOLI,sp,P04993,RECD
sp|P04994|EX7L_ECOLI,sp,P04994,EX7L
sp|P04995|EX1_ECOLI,sp,P04995,EX1
sp|P05020|PYRC_ECOLI,sp,P05020,PYRC
sp|P05041|PABB_ECOLI,sp,P05041,PABB
sp|P05042|FUMC_ECOLI,sp,P05042,FUMC
sp|P05055|PNP_ECOLI,sp,P05055,PNP
sp|P05100|3MG1_ECOLI,sp,P05100,3MG1
sp|P05194|AROD_ECOLI,sp,P05194,AROD
sp|P05458|PTRA_ECOLI,sp,P05458,PTRA
sp|P05459|PDXB_ECOLI,sp,P05459,PDXB
sp|P05523|FPG_ECOLI,sp,P05523,FPG
sp|P05637|APAH_ECOLI,sp,P05637,APAH
sp|P05791|ILVD_ECOLI,sp,P05791,ILVD
sp|P05793|ILVC_ECOLI,sp,P05793,ILVC
sp|P05804|BGLR_ECOLI,sp,P05804,BGLR
sp|P05827|ILVY_ECOLI,sp,P05827,ILVY
sp|P05847|TTDA_ECOLI,sp,P05847,TTDA
sp|P05852|TSAD_ECOLI,sp,P05852,TSAD
sp|P06136|FTSQ_ECOLI,sp,P06136,FTSQ
sp|P06149|DLD_ECOLI,sp,P06149,DLD
sp|P06282|CDH_ECOLI,sp,P06282,CDH
sp|P06610|BTUE_ECOLI,sp,P06610,BTUE
sp|P06611|BTUD_ECOLI,sp,P06611,BTUD
sp|P06612|TOP1_ECOLI,sp,P06612,TOP1
sp|P06616|ERA_ECOLI,sp,P06616,ERA
sp|P06709|BIRA_ECOLI,sp,P06709,BIRA
sp|P06710|DPO3X_ECOLI,sp,P06710,DPO3X
sp|P06715|GSHR_ECOLI,sp,P06715,GSHR
sp|P06721|METC_ECOLI,sp,P06721,METC
sp|P06722|MUTH_ECOLI,sp,P06722,MUTH
sp|P06846|EBGR_ECOLI,sp,P06846,EBGR
sp|P06959|ODP2_ECOLI,sp,P06959,ODP2
sp|P06961|CCA_ECOLI,sp,P06961,CCA
sp|P06968|DUT_ECOLI,sp,P06968,DUT
sp|P06974|FLIM_ECOLI,sp,P06974,FLIM
sp|P06983|HEM3_ECOLI,sp,P06983,HEM3
sp|P06986|HIS8_ECOLI,sp,P06986,HIS8
sp|P06987|HIS7_ECOLI,sp,P06987,HIS7
sp|P06988|HISX_ECOLI,sp,P06988,HISX
sp|P06989|HIS2_ECOLI,sp,P06989,HIS2
sp|P06992|RSMA_ECOLI,sp,P06992,RSMA
sp|P06993|MALT_ECOLI,sp,P06993,MALT
sp|P06996|OMPC_ECOLI,sp,P06996,OMPC
sp|P06999|PFKB_ECOLI,sp,P06999,PFKB
sp|P07000|PLDB_ECOLI,sp,P07000,PLDB
sp|P07001|PNTA_ECOLI,sp,P07001,PNTA
sp|P07003|POXB_ECOLI,sp,P07003,POXB
sp|P07004|PROA_ECOLI,sp,P07004,PROA
sp|P07012|RF2_ECOLI,sp,P07012,RF2
sp|P07013|PRIB_ECOLI,sp,P07013,PRIB
sp|P07014|SDHB_ECOLI,sp,P07014,SDHB
sp|P07017|MCP2_ECOLI,sp,P07017,MCP2
sp|P07021|YFIB_ECOLI,sp,P07021,YFIB
sp|P07023|TYRA_ECOLI,sp,P07023,TYRA
sp|P07024|USHA_ECOLI,sp,P07024,USHA
sp|P07026|SDIA_ECOLI,sp,P07026,SDIA
sp|P07102|PPA_ECOLI,sp,P07102,PPA
sp|P07109|HISP_ECOLI,sp,P07109,HISP
sp|P07117|PUTP_ECOLI,sp,P07117,PUTP
sp|P07118|SYV_ECOLI,sp,P07118,SYV
sp|P07330|CHEB_ECOLI,sp,P07330,CHEB
sp|P07363|CHEA_ECOLI,sp,P07363,CHEA
sp|P07395|SYFB_ECOLI,sp,P07395,SYFB
sp|P07604|TYRR_ECOLI,sp,P07604,TYRR
sp|P07623|METAS_ECOLI,sp,P07623,METAS
sp|P07639|AROB_ECOLI,sp,P07639,AROB
sp|P07648|RECC_ECOLI,sp,P07648,RECC
sp|P07649|TRUA_ECOLI,sp,P07649,TRUA
sp|P07650|TYPH_ECOLI,sp,P07650,TYPH
sp|P07654|PSTA_ECOLI,sp,P07654,PSTA
sp|P07658|FDHF_ECOLI,sp,P07658,FDHF
sp|P07762|GLGB_ECOLI,sp,P07762,GLGB
sp|P07813|SYL_ECOLI,sp,P07813,SYL
sp|P07821|FHUC_ECOLI,sp,P07821,FHUC
sp|P07862|DDLB_ECOLI,sp,P07862,DDLB
sp|P07913|TDH_ECOLI,sp,P07913,TDH
sp|P08178|PUR5_ECOLI,sp,P08178,PUR5
sp|P08179|PUR3_ECOLI,sp,P08179,PUR3
sp|P08192|FOLC_ECOLI,sp,P08192,FOLC
sp|P08194|GLPT_ECOLI,sp,P08194,GLPT
sp|P08200|IDH_ECOLI,sp,P08200,IDH
sp|P08201|NIRB_ECOLI,sp,P08201,NIRB
sp|P08244|PYRF_ECOLI,sp,P08244,PYRF
sp|P08245|YCIH_ECOLI,sp,P08245,YCIH
sp|P08312|SYFA_ECOLI,sp,P08312,SYFA
sp|P08331|CPDB_ECOLI,sp,P08331,CPDB
sp|P08337|MUTT_ECOLI,sp,P08337,MUTT
sp|P08373|MURB_ECOLI,sp,P08373,MURB
sp|P08390|USG_ECOLI,sp,P08390,USG
sp|P08394|RECB_ECOLI,sp,P08394,RECB
sp|P08395|SPPA_ECOLI,sp,P08395,SPPA
sp|P08400|PHOR_ECOLI,sp,P08400,PHOR
sp|P08506|DACC_ECOLI,sp,P08506,DACC
sp|P08622|DNAJ_ECOLI,sp,P08622,DNAJ
sp|P08660|AK3_ECOLI,sp,P08660,AK3
sp|P08839|PT1_ECOLI,sp,P08839,PT1
sp|P08997|MASY_ECOLI,sp,P08997,MASY
sp|P09029|PURK_ECOLI,sp,P09029,PURK
sp|P09030|EX3_ECOLI,sp,P09030,EX3
sp|P09053|AVTA_ECOLI,sp,P09053,AVTA
sp|P09099|XYLB_ECOLI,sp,P09099,XYLB
sp|P09126|HEM4_ECOLI,sp,P09126,HEM4
sp|P09127|HEMX_ECOLI,sp,P09127,HEMX
sp|P09147|GALE_ECOLI,sp,P09147,GALE
sp|P09148|GAL7_ECOLI,sp,P09148,GAL7
sp|P09151|LEU1_ECOLI,sp,P09151,LEU1
sp|P09152|NARG_ECOLI,sp,P09152,NARG
sp|P09153|TFAE_ECOLI,sp,P09153,TFAE
sp|P09155|RND_ECOLI,sp,P09155,RND
sp|P09158|SPEE_ECOLI,sp,P09158,SPEE
sp|P09169|OMPT_ECOLI,sp,P09169,OMPT
sp|P09323|PTW3C_ECOLI,sp,P09323,PTW3C
sp|P09372|GRPE_ECOLI,sp,P09372,GRPE
sp|P09373|PFLB_ECOLI,sp,P09373,PFLB
sp|P09391|GLPG_ECOLI,sp,P09391,GLPG
sp|P09394|GLPQ_ECOLI,sp,P09394,GLPQ
sp|P09424|MTLD_ECOLI,sp,P09424,MTLD
sp|P09546|PUTA_ECOLI,sp,P09546,PUTA
sp|P09549|DEDD_ECOLI,sp,P09549,DEDD
sp|P09831|GLTB_ECOLI,sp,P09831,GLTB
sp|P09832|GLTD_ECOLI,sp,P09832,GLTD
sp|P09833|MODC_ECOLI,sp,P09833,MODC
sp|P09835|UHPB_ECOLI,sp,P09835,UHPB
sp|P09980|REP_ECOLI,sp,P09980,REP
sp|P0A698|UVRA_ECOLI,sp,P0A698,UVRA
sp|P0A6A0|UBIB_ECOLI,sp,P0A6A0,UBIB
sp|P0A6A3|ACKA_ECOLI,sp,P0A6A3,ACKA
sp|P0A6A6|LEUC_ECOLI,sp,P0A6A6,LEUC
sp|P0A6A8|ACP_ECOLI,sp,P0A6A8,ACP
sp|P0A6B4|ALR1_ECOLI,sp,P0A6B4,ALR1
sp|P0A6B7|ISCS_ECOLI,sp,P0A6B7,ISCS
sp|P0A6C1|END4_ECOLI,sp,P0A6C1,END4
sp|P0A6C8|ARGB_ECOLI,sp,P0A6C8,ARGB
sp|P0A6D0|ARGR_ECOLI,sp,P0A6D0,ARGR
sp|P0A6D3|AROA_ECOLI,sp,P0A6D3,AROA
sp|P0A6D7|AROK_ECOLI,sp,P0A6D7,AROK
sp|P0A6E1|AROL_ECOLI,sp,P0A6E1,AROL
sp|P0A6E4|ASSY_ECOLI,sp,P0A6E4,ASSY
sp|P0A6E6|ATPE_ECOLI,sp,P0A6E6,ATPE
sp|P0A6E9|BIOD2_ECOLI,sp,P0A6E9,BIOD2
sp|P0A6F1|CARA_ECOLI,sp,P0A6F1,CARA
sp|P0A6F3|GLPK_ECOLI,sp,P0A6F3,GLPK
sp|P0A6F5|CH60_ECOLI,sp,P0A6F5,CH60
sp|P0A6F9|CH10_ECOLI,sp,P0A6F9,CH10
sp|P0A6G3|PNCC_ECOLI,sp,P0A6G3,PNCC
sp|P0A6G7|CLPP_ECOLI,sp,P0A6G7,CLPP
sp|P0A6H1|CLPX_ECOLI,sp,P0A6H1,CLPX
sp|P0A6H5|HSLU_ECOLI,sp,P0A6H5,HSLU
sp|P0A6H8|CLSA_ECOLI,sp,P0A6H8,CLSA
sp|P0A6I0|KCY_ECOLI,sp,P0A6I0,KCY
sp|P0A6I3|COAA_ECOLI,sp,P0A6I3,COAA
sp|P0A6I6|COAD_ECOLI,sp,P0A6I6,COAD
sp|P0A6I9|COAE_ECOLI,sp,P0A6I9,COAE
sp|P0A6J3|CYSZ_ECOLI,sp,P0A6J3,CYSZ
sp|P0A6J5|DADA_ECOLI,sp,P0A6J5,DADA
sp|P0A6J8|DDLA_ECOLI,sp,P0A6J8,DDLA
sp|P0A6K1|DAPF_ECOLI,sp,P0A6K1,DAPF
sp|P0A6K3|DEF_ECOLI,sp,P0A6K3,DEF
sp|P0A6K6|DEOB_ECOLI,sp,P0A6K6,DEOB
sp|P0A6L0|DEOC_ECOLI,sp,P0A6L0,DEOC
sp|P0A6L2|DAPA_ECOLI,sp,P0A6L2,DAPA
sp|P0A6L4|NANA_ECOLI,sp,P0A6L4,NANA
sp|P0A6L7|UXAB_ECOLI,sp,P0A6L7,UXAB
sp|P0A6L9|HSCB_ECOLI,sp,P0A6L9,HSCB
sp|P0A6M2|DSBB_ECOLI,sp,P0A6M2,DSBB
sp|P0A6M4|DTD_ECOLI,sp,P0A6M4,DTD
sp|P0A6M8|EFG_ECOLI,sp,P0A6M8,EFG
sp|P0A6N4|EFP_ECOLI,sp,P0A6N4,EFP
sp|P0A6N8|EFPL_ECOLI,sp,P0A6N8,EFPL
sp|P0A6P1|EFTS_ECOLI,sp,P0A6P1,EFTS
sp|P0A6P5|DER_ECOLI,sp,P0A6P5,DER
sp|P0A6P7|ENGB_ECOLI,sp,P0A6P7,ENGB
sp|P0A6P9|ENO_ECOLI,sp,P0A6P9,ENO
sp|P0A6Q3|FABA_ECOLI,sp,P0A6Q3,FABA
sp|P0A6Q6|FABZ_ECOLI,sp,P0A6Q6,FABZ
sp|P0A6R0|FABH_ECOLI,sp,P0A6R0,FABH
sp|P0A6R3|FIS_ECOLI,sp,P0A6R3,FIS
sp|P0A6S0|FLGH_ECOLI,sp,P0A6S0,FLGH
sp|P0A6S7|GPDA_ECOLI,sp,P0A6S7,GPDA
sp|P0A6T1|G6PI_ECOLI,sp,P0A6T1,G6PI
sp|P0A6T3|GAL1_ECOLI,sp,P0A6T3,GAL1
sp|P0A6T5|GCH1_ECOLI,sp,P0A6T5,GCH1
sp|P0A6T9|GCSH_ECOLI,sp,P0A6T9,GCSH
sp|P0A6U3|MNMG_ECOLI,sp,P0A6U3,MNMG
sp|P0A6U5|RSMG_ECOLI,sp,P0A6U5,RSMG
sp|P0A6U8|GLGA_ECOLI,sp,P0A6U8,GLGA
sp|P0A6V1|GLGC_ECOLI,sp,P0A6V1,GLGC
sp|P0A6V8|GLK_ECOLI,sp,P0A6V8,GLK
sp|P0A6W0|GLSA2_ECOLI,sp,P0A6W0,GLSA2
sp|P0A6W3|MRAY_ECOLI,sp,P0A6W3,MRAY
sp|P0A6W5|GREA_ECOLI,sp,P0A6W5,GREA
sp|P0A6W9|GSH1_ECOLI,sp,P0A6W9,GSH1
sp|P0A6X1|HEM1_ECOLI,sp,P0A6X1,HEM1
sp|P0A6X3|HFQ_ECOLI,sp,P0A6X3,HFQ
sp|P0A6X7|IHFA_ECOLI,sp,P0A6X7,IHFA
sp|P0A6Y1|IHFB_ECOLI,sp,P0A6Y1,IHFB
sp|P0A6Y5|HSLO_ECOLI,sp,P0A6Y5,HSLO
sp|P0A6Y8|DNAK_ECOLI,sp,P0A6Y8,DNAK
sp|P0A6Z1|HSCA_ECOLI,sp,P0A6Z1,HSCA
sp|P0A6Z3|HTPG_ECOLI,sp,P0A6Z3,HTPG
sp|P0A6Z6|NIKR_ECOLI,sp,P0A6Z6,NIKR
sp|P0A700|HYPA_ECOLI,sp,P0A700,HYPA
sp|P0A703|HYBF_ECOLI,sp,P0A703,HYBF
sp|P0A705|IF2_ECOLI,sp,P0A705,IF2
sp|P0A707|IF3_ECOLI,sp,P0A707,IF3
sp|P0A710|YCIB_ECOLI,sp,P0A710,YCIB
sp|P0A715|KDSA_ECOLI,sp,P0A715,KDSA
sp|P0A717|KPRS_ECOLI,sp,P0A717,KPRS
sp|P0A720|KTHY_ECOLI,sp,P0A720,KTHY
sp|P0A722|LPXA_ECOLI,sp,P0A722,LPXA
sp|P0A725|LPXC_ECOLI,sp,P0A725,LPXC
sp|P0A729|NTPPB_ECOLI,sp,P0A729,NTPPB
sp|P0A731|MGSA_ECOLI,sp,P0A731,MGSA
sp|P0A734|MINE_ECOLI,sp,P0A734,MINE
sp|P0A738|MOAC_ECOLI,sp,P0A738,MOAC
sp|P0A742|MSCL_ECOLI,sp,P0A742,MSCL
sp|P0A744|MSRA_ECOLI,sp,P0A744,MSRA
sp|P0A746|MSRB_ECOLI,sp,P0A746,MSRB
sp|P0A749|MURA_ECOLI,sp,P0A749,MURA
sp|P0A752|NADD_ECOLI,sp,P0A752,NADD
sp|P0A756|KEFG_ECOLI,sp,P0A756,KEFG
sp|P0A759|NAGB_ECOLI,sp,P0A759,NAGB
sp|P0A761|NANE_ECOLI,sp,P0A761,NANE
sp|P0A763|NDK_ECOLI,sp,P0A763,NDK
sp|P0A766|RSXA_ECOLI,sp,P0A766,RSXA
sp|P0A776|RPPH_ECOLI,sp,P0A776,RPPH
sp|P0A780|NUSB_ECOLI,sp,P0A780,NUSB
sp|P0A784|ORN_ECOLI,sp,P0A784,ORN
sp|P0A786|PYRB_ECOLI,sp,P0A786,PYRB
sp|P0A790|PAND_ECOLI,sp,P0A790,PAND
sp|P0A794|PDXJ_ECOLI,sp,P0A794,PDXJ
sp|P0A796|PFKA_ECOLI,sp,P0A796,PFKA
sp|P0A799|PGK_ECOLI,sp,P0A799,PGK
sp|P0A7A5|PIMT_ECOLI,sp,P0A7A5,PIMT
sp|P0A7A7|PLSB_ECOLI,sp,P0A7A7,PLSB
sp|P0A7A9|IPYR_ECOLI,sp,P0A7A9,IPYR
sp|P0A7B1|PPK1_ECOLI,sp,P0A7B1,PPK1
sp|P0A7B3|NADK_ECOLI,sp,P0A7B3,NADK
sp|P0A7B5|PROB_ECOLI,sp,P0A7B5,PROB
sp|P0A7B8|HSLV_ECOLI,sp,P0A7B8,HSLV
sp|P0A7C2|LEXA_ECOLI,sp,P0A7C2,LEXA
sp|P0A7C6|PEPE_ECOLI,sp,P0A7C6,PEPE
sp|P0A7D1|PTH_ECOLI,sp,P0A7D1,PTH
sp|P0A7D4|PURA_ECOLI,sp,P0A7D4,PURA
sp|P0A7D7|PUR7_ECOLI,sp,P0A7D7,PUR7
sp|P0A7E1|PYRD_ECOLI,sp,P0A7E1,PYRD
sp|P0A7E3|PYRE_ECOLI,sp,P0A7E3,PYRE
sp|P0A7E5|PYRG_ECOLI,sp,P0A7E5,PYRG
sp|P0A7E9|PYRH_ECOLI,sp,P0A7E9,PYRH
sp|P0A7F3|PYRI_ECOLI,sp,P0A7F3,PYRI
sp|P0A7F6|SPED_ECOLI,sp,P0A7F6,SPED
sp|P0A7F9|QUEA_ECOLI,sp,P0A7F9,QUEA
sp|P0A7G2|RBFA_ECOLI,sp,P0A7G2,RBFA
sp|P0A7G6|RECA_ECOLI,sp,P0A7G6,RECA
sp|P0A7H0|RECF_ECOLI,sp,P0A7H0,RECF
sp|P0A7H6|RECR_ECOLI,sp,P0A7H6,RECR
sp|P0A7I0|RF1_ECOLI,sp,P0A7I0,RF1
sp|P0A7I4|RF3_ECOLI,sp,P0A7I4,RF3
sp|P0A7I7|RIBA_ECOLI,sp,P0A7I7,RIBA
sp|P0A7J0|RIBB_ECOLI,sp,P0A7J0,RIBB
sp|P0A7J3|RL10_ECOLI,sp,P0A7J3,RL10
sp|P0A7J7|RL11_ECOLI,sp,P0A7J7,RL11
sp|P0A7K2|RL7_ECOLI,sp,P0A7K2,RL7
sp|P0A7K6|RL19_ECOLI,sp,P0A7K6,RL19
sp|P0A7L0|RL1_ECOLI,sp,P0A7L0,RL1
sp|P0A7L3|RL20_ECOLI,sp,P0A7L3,RL20
sp|P0A7L8|RL27_ECOLI,sp,P0A7L8,RL27
sp|P0A7M2|RL28_ECOLI,sp,P0A7M2,RL28
sp|P0A7M6|RL29_ECOLI,sp,P0A7M6,RL29
sp|P0A7M9|RL31_ECOLI,sp,P0A7M9,RL31
sp|P0A7N1|RL31B_ECOLI,sp,P0A7N1,RL31B
sp|P0A7N4|RL32_ECOLI,sp,P0A7N4,RL32
sp|P0A7N9|RL33_ECOLI,sp,P0A7N9,RL33
sp|P0A7P5|RL34_ECOLI,sp,P0A7P5,RL34
sp|P0A7R1|RL9_ECOLI,sp,P0A7R1,RL9
sp|P0A7R5|RS10_ECOLI,sp,P0A7R5,RS10
sp|P0A7R9|RS11_ECOLI,sp,P0A7R9,RS11
sp|P0A7S3|RS12_ECOLI,sp,P0A7S3,RS12
sp|P0A7S9|RS13_ECOLI,sp,P0A7S9,RS13
sp|P0A7T3|RS16_ECOLI,sp,P0A7T3,RS16
sp|P0A7T7|RS18_ECOLI,sp,P0A7T7,RS18
sp|P0A7U3|RS19_ECOLI,sp,P0A7U3,RS19
sp|P0A7U7|RS20_ECOLI,sp,P0A7U7,RS20
sp|P0A7V0|RS2_ECOLI,sp,P0A7V0,RS2
sp|P0A7V3|RS3_ECOLI,sp,P0A7V3,RS3
sp|P0A7V8|RS4_ECOLI,sp,P0A7V8,RS4
sp|P0A7W1|RS5_ECOLI,sp,P0A7W1,RS5
sp|P0A7W7|RS8_ECOLI,sp,P0A7W7,RS8
sp|P0A7X3|RS9_ECOLI,sp,P0A7X3,RS9
sp|P0A7X6|RIMM_ECOLI,sp,P0A7X6,RIMM
sp|P0A7Y0|RNC_ECOLI,sp,P0A7Y0,RNC
sp|P0A7Y4|RNH_ECOLI,sp,P0A7Y4,RNH
sp|P0A7Y8|RNPA_ECOLI,sp,P0A7Y8,RNPA
sp|P0A7Z0|RPIA_ECOLI,sp,P0A7Z0,RPIA
sp|P0A7Z4|RPOA_ECOLI,sp,P0A7Z4,RPOA
sp|P0A800|RPOZ_ECOLI,sp,P0A800,RPOZ
sp|P0A805|RRF_ECOLI,sp,P0A805,RRF
sp|P0A809|RUVA_ECOLI,sp,P0A809,RUVA
sp|P0A812|RUVB_ECOLI,sp,P0A812,RUVB
sp|P0A814|RUVC_ECOLI,sp,P0A814,RUVC
sp|P0A817|METK_ECOLI,sp,P0A817,METK
sp|P0A821|SELA_ECOLI,sp,P0A821,SELA
sp|P0A823|SFSA_ECOLI,sp,P0A823,SFSA
sp|P0A825|GLYA_ECOLI,sp,P0A825,GLYA
sp|P0A828|SMG_ECOLI,sp,P0A828,SMG
sp|P0A830|DCTA_ECOLI,sp,P0A830,DCTA
sp|P0A832|SSRP_ECOLI,sp,P0A832,SSRP
sp|P0A836|SUCC_ECOLI,sp,P0A836,SUCC
sp|P0A840|SURE_ECOLI,sp,P0A840,SURE
sp|P0A843|TATE_ECOLI,sp,P0A843,TATE
sp|P0A847|TGT_ECOLI,sp,P0A847,TGT
sp|P0A850|TIG_ECOLI,sp,P0A850,TIG
sp|P0A855|TOLB_ECOLI,sp,P0A855,TOLB
sp|P0A858|TPIS_ECOLI,sp,P0A858,TPIS
sp|P0A862|TPX_ECOLI,sp,P0A862,TPX
sp|P0A867|TALA_ECOLI,sp,P0A867,TALA
sp|P0A870|TALB_ECOLI,sp,P0A870,TALB
sp|P0A873|TRMD_ECOLI,sp,P0A873,TRMD
sp|P0A877|TRPA_ECOLI,sp,P0A877,TRPA
sp|P0A879|TRPB_ECOLI,sp,P0A879,TRPB
sp|P0A881|TRPR_ECOLI,sp,P0A881,TRPR
sp|P0A884|TYSY_ECOLI,sp,P0A884,TYSY
sp|P0A887|UBIE_ECOLI,sp,P0A887,UBIE
sp|P0A890|TUSA_ECOLI,sp,P0A890,TUSA
sp|P0A894|RAPZ_ECOLI,sp,P0A894,RAPZ
sp|P0A898|YBEY_ECOLI,sp,P0A898,YBEY
sp|P0A8A0|YEBC_ECOLI,sp,P0A8A0,YEBC
sp|P0A8A2|YEEN_ECOLI,sp,P0A8A2,YEEN
sp|P0A8A4|PSRP_ECOLI,sp,P0A8A4,PSRP
sp|P0A8A8|RIMP_ECOLI,sp,P0A8A8,RIMP
sp|P0A8B2|YFCN_ECOLI,sp,P0A8B2,YFCN
sp|P0A8B5|YBAB_ECOLI,sp,P0A8B5,YBAB
sp|P0A8C1|YBJQ_ECOLI,sp,P0A8C1,YBJQ
sp|P0A8C4|YGFB_ECOLI,sp,P0A8C4,YGFB
sp|P0A8D0|NRDR_ECOLI,sp,P0A8D0,NRDR
sp|P0A8D3|YAII_ECOLI,sp,P0A8D3,YAII
sp|P0A8D6|YMDB_ECOLI,sp,P0A8D6,YMDB
sp|P0A8E1|YCFP_ECOLI,sp,P0A8E1,YCFP
sp|P0A8E5|YACL_ECOLI,sp,P0A8E5,YACL
sp|P0A8E7|YAJQ_ECOLI,sp,P0A8E7,YAJQ
sp|P0A8F0|UPP_ECOLI,sp,P0A8F0,UPP
sp|P0A8F4|URK_ECOLI,sp,P0A8F4,URK
sp|P0A8F8|UVRB_ECOLI,sp,P0A8F8,UVRB
sp|P0A8G0|UVRC_ECOLI,sp,P0A8G0,UVRC
sp|P0A8G3|UXAC_ECOLI,sp,P0A8G3,UXAC
sp|P0A8G6|NQOR_ECOLI,sp,P0A8G6,NQOR
sp|P0A8G9|EX7S_ECOLI,sp,P0A8G9,EX7S
sp|P0A8H6|YIHI_ECOLI,sp,P0A8H6,YIHI
sp|P0A8H8|YACG_ECOLI,sp,P0A8H8,YACG
sp|P0A8I1|YQGF_ECOLI,sp,P0A8I1,YQGF
sp|P0A8I3|YAAA_ECOLI,sp,P0A8I3,YAAA
sp|P0A8I5|TRMB_ECOLI,sp,P0A8I5,TRMB
sp|P0A8I8|RLMH_ECOLI,sp,P0A8I8,RLMH
sp|P0A8J2|DNAT_ECOLI,sp,P0A8J2,DNAT
sp|P0A8J4|YBED_ECOLI,sp,P0A8J4,YBED
sp|P0A8J8|RHLB_ECOLI,sp,P0A8J8,RHLB
sp|P0A8K1|PSD_ECOLI,sp,P0A8K1,PSD
sp|P0A8K5|YAEP_ECOLI,sp,P0A8K5,YAEP
sp|P0A8K8|YIHY_ECOLI,sp,P0A8K8,YIHY
sp|P0A8L1|SYS_ECOLI,sp,P0A8L1,SYS
sp|P0A8L7|YCIU_ECOLI,sp,P0A8L7,YCIU
sp|P0A8M0|SYN_ECOLI,sp,P0A8M0,SYN
